"Hora inicio","Hora fin","Título","Fecha inicio","Fecha fin","Canal"
"05:30:00","08:00:00","Misión imposible: Protocolo fantasma - Doblada Al Epañol","2012-06-20","2012-06-20","PP8T",
"08:00:00","10:45:00","Misión imposible: Protocolo fantasma - Doblada Al Epañol","2012-06-20","2012-06-20","PP8T",
"10:45:00","13:45:00","Misión imposible: Protocolo fantasma - Doblada Al Epañol","2012-06-20","2012-06-20","PP8T",
"13:45:00","16:15:00","Misión imposible: Protocolo fantasma - Doblada Al Epañol","2012-06-20","2012-06-20","PP8T",
"16:15:00","19:00:00","Misión imposible: Protocolo fantasma - Doblada Al Epañol","2012-06-20","2012-06-20","PP8T",
"19:00:00","21:30:00","Misión imposible: Protocolo fantasma - Doblada Al Epañol","2012-06-20","2012-06-20","PP8T",
"21:30:00","00:15:00","Misión imposible: Protocolo fantasma - Doblada Al Epañol","2012-06-20","2012-06-21","PP8T",
"00:15:00","02:45:00","Misión imposible: Protocolo fantasma - Doblada Al Epañol","2012-06-21","2012-06-21","PP8T",
"02:45:00","05:30:00","Misión imposible: Protocolo fantasma - Doblada Al Epañol","2012-06-21","2012-06-21","PP8T",
"05:30:00","08:00:00","Misión imposible: Protocolo fantasma - Doblada Al Epañol","2012-06-21","2012-06-21","PP8T",
"08:00:00","10:45:00","Misión imposible: Protocolo fantasma - Doblada Al Epañol","2012-06-21","2012-06-21","PP8T",
"10:45:00","13:45:00","Misión imposible: Protocolo fantasma - Doblada Al Epañol","2012-06-21","2012-06-21","PP8T",
"13:45:00","16:15:00","Misión imposible: Protocolo fantasma - Doblada Al Epañol","2012-06-21","2012-06-21","PP8T",
"16:15:00","19:00:00","Misión imposible: Protocolo fantasma - Doblada Al Epañol","2012-06-21","2012-06-21","PP8T",
"19:00:00","21:30:00","Misión imposible: Protocolo fantasma - Doblada Al Epañol","2012-06-21","2012-06-21","PP8T",
"21:30:00","00:15:00","Misión imposible: Protocolo fantasma - Doblada Al Epañol","2012-06-21","2012-06-22","PP8T",
"00:15:00","02:45:00","Misión imposible: Protocolo fantasma - Doblada Al Epañol","2012-06-22","2012-06-22","PP8T",
"02:45:00","05:30:00","Misión imposible: Protocolo fantasma - Doblada Al Epañol","2012-06-22","2012-06-22","PP8T",
"05:30:00","08:00:00","Misión imposible: Protocolo fantasma - Doblada Al Epañol","2012-06-22","2012-06-22","PP8T",
"08:00:00","10:45:00","Misión imposible: Protocolo fantasma - Doblada Al Epañol","2012-06-22","2012-06-22","PP8T",
"10:45:00","13:45:00","Misión imposible: Protocolo fantasma - Doblada Al Epañol","2012-06-22","2012-06-22","PP8T",
"13:45:00","16:15:00","Misión imposible: Protocolo fantasma - Doblada Al Epañol","2012-06-22","2012-06-22","PP8T",
"16:15:00","19:00:00","Misión imposible: Protocolo fantasma - Doblada Al Epañol","2012-06-22","2012-06-22","PP8T",
"19:00:00","21:30:00","Misión imposible: Protocolo fantasma - Doblada Al Epañol","2012-06-22","2012-06-22","PP8T",
